ID,Language,Probability,ObjectKnowledge1Code,MachineKnowledge1Code,ObjectKnowledge2Code,MachineKnowledge2Code,EstimatePercentage1,EstimatePercentage2
173,3,20,1,1,1,1,20,20
174,3,20,0,0,0,0, ,20
175,3,20,1,1,1,1,20,20
176,3,20,1,0,0,0,20,15
177,3,20,1,1,0,0,50,25
178,3,20,1,0,1,0,10,5
179,3,20,1,0,1,0,25,20
180,3,20,2,2,2,2,100,100
181,3,20,1,1,1,1,3,2
182,3,20,1,1,1,1,33,15
183,3,20,1,1,0,0,33,10
184,3,20,2,2,2,2,100,100
185,3,20,1,1,1,1,2,2
186,3,20,0,1,0,1,10,20
187,3,20,1,1,1,1,30,30
248,3,30,1,1,1,1,20,20
249,3,30,1,1,1,1,20,30
250,3,30,2,2,1,1,100,40
251,3,30,1,1,1,1,40,30
252,3,30,1,1,1,1,30,30
253,3,30,2,1,1,1,100,100
254,3,30,1,1,1,0,30,20
255,3,30,1,1,1,1,30,50
256,3,30,2,1,1,1,30,20
257,3,30,2,1,2,1,50,50
258,3,30,2,2,2,2,100,100
259,3,30,1,1,1,1,3,3
260,3,30,0,1,0,0,33,35
261,3,30,2,1,1,2,5,3
262,3,30,2,2,2,2,100,100
263,3,30,2,2,1,1,100,50
264,3,30,1,1,1,0,40,30
265,3,30,2,1,1,1,25,15
266,3,30,1,1,1,1,25,35
267,3,30,1,1,1,1,33,33
268,3,30,2,2,1,1,25,30
269,3,30,1,2,1,1,100,80
270,3,30,1,1,1,1,40,30
271,3,30,1,1,1,1,25,30
272,3,30,1,1,1,1,1,30
273,3,30,1,1,0,0,30,10
274,3,30,1,1,0,0,25,20
275,3,30,1,1,1,1,40,30
276,3,30,1,1,1,1,20,30
277,3,30,2,2,2,2,10,10
342,3,40,2,1,1,1, ,25
343,3,40,1,1,1,2,25,35
344,3,40,1,1,1,1,50,40
345,3,40,0,0,0,0,50,50
346,3,40,1,1,0,0,40,40
347,3,40,1,0,1,0,30,30
348,3,40,1,0,1,1,40,40
349,3,40,1,1,1,1,40,40
350,3,40,0,0,0,0,30,20
351,3,40,1,1,1,1,25,40
352,3,40,1,1,1,2,3,2
353,3,40,1,1,1,1,30,40
354,3,40,2,2,2,2,50,100
355,3,40,2,2,2,2,100,100
356,3,40,1,2,1,1,40,40
357,3,40,0,1,1,1,40,40
358,3,40,1,1,1,1,40,40
359,3,40,1,1,1,1,40,60
360,3,40,1,1,1,1,40,44
361,3,40,1,1,1,1,33,33
362,3,40,2,1,1,1,30,40
363,3,40,1,1,1,1,25,35
364,3,40,2,2,2,2,70,100
365,3,40,1,2,1,2,70,70
366,3,40,1,1,1,1,30,40
367,3,40,2,1,1,1,50,40
368,3,40,0,1,1,1,33,33
369,3,40,2,2,2,2,100,100
370,3,40,2,2,1,1,30,20
371,3,40,1,2,1,1,5,50
434,3,50,1,1,1,1,50,40
